"question1","question2","is_duplicate"
"how cancel nationwide renter insurance","if you no longer have the need for your Renters Insurance Policy you can contact your Nationwide Insurance professional  discuss your situation and your result decision cancel the policy and they will be able help you do that quickly efficiently you may be ask provide the request in write and sign  which if you think about it be only right since when you begin the coverage  you be ask sign a write application","1"
"how switch Life Insurance","under the affordable care act you can change to another health insurance plan during the open enrollment period each year if you be outside the open enrollment period and want switch plan you will need qualify for a special enrollment period ( also refer to as a qualify life change event since a carrier can no longer decline you for a pre-existing condition health insurance plan be in short guarantee issue however change plan may not necessarily be in your good interest be sure do an in-depth comparison of your exist plan and the propose new plan you be look at see which be truly better more advantageous for your own situation - premium  coinsurance  copayment  deductible  out-of-pocket maximum  network ( HMO vs. PPO vs. Po and other factor shall be take into account an experienced health insurance broker can help you with this review please feel free contact me for far assistance thanks very much","0"
"can I claim for mi sell Critical Illness Insurance","can you claim for mi sell Critical Illness Insurance just a guess  but I believe the question be ask if you can file a claim if you be mislead after buy a critical illness policy if you feel you be dupe you shall contact the supervisor of the agent who sell you the plan and request a meeting discuss the issue if that do not resolve the problem ... push the up button","1"
"how much shall I expect pay for Disability Insurance","actually long term disability insurance and long term care insurance be not the same type of policy nor do they cover the same thing disability insurance be replace a percentage of your income when you have an illness or injury so severe you can no longer work long term care insurance be primarily for your age year cover home health  assist living and nursing home when you be no longer able take care of yourself long term disability insurance shall be purchase at a young age as soon as you go work earn a wage long term care insurance shall be purchase between your late 50s or early 60s","0"
"can I get car insurance if I do not own a car","yes you can buy what be call a name operator aka nonowner auto insurance policy it cover you in any non-owned vehicle you drive however a name operator policy do not cover the vehicle that you be drive ( mean no comprehensive collision coverage be offer a name operator policy only offer liability coverage  medical coverage and uninsured motorist coverage as an alternative some state also have what be call a broad form name driver policy it be very similar to a name operator policy but with some minor difference","1"
"what coverage shall I get for home insurance","yes you shall take the long term disability insurance statistically speak you be 8 time more likely become disabled than die almost 90% disability be due to illness over injury be sure this policy cover both for the vast majority of working American their number 1 asset be the ability earn a living long term disability insurance cover that asset","0"
"what be the purpose of renter insurance","hello renter insurance be a way protect the value of your belonging  shall something bad happen it be a way replace the thing that be steal or damage during break-in or destroy in fire for example most people do not have the money replace these thing after such an event and that be where the insurance come in like with everything there be a ton of choice and if you need help please hit the contact me button and I will be happy help you","1"
"what happen to homeowner insurance after foreclosure","most doctor accept and treat Medicare patient 1 way find out if a doctor accept Medicare be call and ask the key question you want ask  do they accept Medicare assignment you can also search online use a search engine such as Google or Bing you can also find your answer on Medicare.gov","0"
"who offer purchase life annuity","many different insurance company offer lifetime annuity the good thing do use an independent agent shop the current rate find the good current rate you it be important use a company with strong financial rating for a Lifetime Annuity I recommend at minimum an a rating","1"
"do own a motorcycle affect Disability Insurance rate","why be disability insurance more expensive for female honestly I have not find that be the case reason can woman tend use medical service more than man which can mean live insurance product like health and disability can be price high than man who pay more for their life coverage","0"
"how easy be it switch homeowner insurance","it be very easy switch homeowner insurance carrier a great word of caution regarding coverage difference  deductible difference and carrier service reputation before you decide switch in many case consumer see a rate increase and simply wish jump ship as if they be offended ; the following year the same thing happen again with the new carrier rate be constantly adjust based on change statistics regarding claim and operational cost regarding apply to a new carrier it be essential that information regarding prior claim  breed of dog ( pet and credit report in applicable state have all be check prior to commit to the change in short the process of change carrier can be as quick as 10 minute due to automation that technology as bring to the industry for a quote and far informaton please follow : WEBSITELINK","1"
"how much be term Life Insurance for 62 year old","in some case this may be possible this be possible be up to the policy of your carrier and your agent if you be look add comprehensive collision coverage with the new vehicle then the agent will more than likely want verify the vehicle condition remember every policy be different please read your policy completely understand the coverage provide and any exclusion there may or contact your local agent have them go over the policy with you","0"
"can everyone get Life Insurance","nearly everyone can get life insurance if they do not qualify for medically underwrite life insurance most people can get simplified issue life insurance and if they can not get that everyone who fit the age limit for guarantee issue life insurance can get it not all state offer guarantee issue life insurance and not all age can get it so there be some person who end up be unable get life insurance but again nearly everyone can get life insurance of some sort","1"
"which company be good for Life Insurance","this will all change very soon as the Patient Protection and Affordable Care act of 2010 ( PPACA aka Obamacare take effect but for now this very much depend on if you allow your health insurance coverage lapse if you do not lapse coverage and begin private coverage then usually a pre-existing condition will be cover if you allow coverage lapse and then buy private insurance it be possible for the insurer to excluse the preexist condition once PPACA take effect pre-existing condition will no longer be allow for the most part","0"
"can u get Medicare at 62","unless you be on Social Security disability you will have wait until you be 65 while it be true you can retire at age 63 and go on Social Security you will not be eligible for Medicare with the new Health Care reform you may qualify for a subsidy purchase an exchange plan depending on your income","1"
"how do I apply for Medicare in Iowa","the good life insurance for over age 50 be usually permanent life insurance unless there be a short term need that can be meet term insurance any term policy at this age can very easily end before death occur when the term end it can be difficult find a new policy not only do health condition become far more common at old age but the price for life insurance increase exponentially in the senior year there be a number of permanent policy that can be purchase person at age 50 with no medical exam require there be also guarantee universal life policy that do not have much cash value  sot hat you be buy longevity of coverage without pay more generate cash value","0"
"what happen if you can not get homeowner insurance","in property insurance in particular there be something call the Excess and Surplus Lines Market when the normal market be not available such as because insured overseas or too many prior claim etc. there be an opportunity shop through most independent agent for an Excess and Surplus Lines policy be aware of a couple thing : the policy language may be specifically draft and limit the coverage you be seek form and rate be based on the insurer judgement and be not file with the various insurance department you will find the need for coverage be readily fill but the price may be a great deal more than you be expect > also there be often minimum earn premium requirement mean if you buy such a policy you may then find a good deal and think about switch the minimum earn premium requirement may give you reason ride out the term","1"
"can car insurance be cancel","you be able to sign up with any auto insurance carrier you want at any time you want as long as you be willing toaccept the pricing and term of the new carrier your current carrier shall refund any unused portion of your pay premium with that carrier","0"
"how can I lower my auto insurance premium","you can possibly lower your auto insurance premium by change your deductible for your collision and other than collision comprehensive coverage if you do not already have your renter / homeowner coverage with the same carrier as your auto insurance you can look into change carrier to your auto insurance carrier and possibly receive a multipolicy discount or as a last resort you can possibly lower your coverage amount","1"
"where can I purchase long term care insurance","renter insurance can cost between $8 and $80 per month that be a huge range and the reason be there be so many variable for the cost you can be insure for $12000 or $70000 on your personal property an experienced broker can give you a quick quote and shop multiple carrier","0"
"do Medicare pay for IV antibiotic at home","no unfortunately Medicare do not pay for IV antibiotic or almost any infusion therapy do in 1 home the only exception be IVIG ( intravenous immune globulin for people with a diagnosis of primary immune deficiency disease although then it only cover the globulin itself","1"
"who guarantee annuity","annuity can be put into a trust but why the purpose of a trust be avoid probate annuity already avoid probate there be only 2 reason I will ever put an annuity into a trust be 1 if the trust be irrevocable and the owner have an estate tax problem secondly if the owner be worried that their be go be a dispute among the beneficiary","0"
"who offer whole life insurance","almost all of the major insurance carrier offer whole life insurance contact a local insurance agent in your area if you already have homeowner or auto insurance coverage with a carrier contact them first they may have policy available that will fit your requirments a agent can help you decide what level and type of coverage will be appropriate at this point in your life","1"
"be Long term care Health Insurance Worth it","in addition to the wonderful answer give Carl I will add people who be look for permanent coverage also benefit from whole life insurance whole life stay in effect for your whole life whereas term life only stay in effect for a term of a your life so anyone who want use their life insurance for funeral expense pass their inheritance to their child give a charity or other purpose that will not go away after a term of time can benefit from whole life insurance","0"
"how much do auto insurance cover","most States have a mandatory liability law means the state prescribe the minimum amount that be require drive on their highway this limit vary by state in Texas  the minimum be $30000 bodily injury per person  $60000 bodily injury per accident and $25000 property damage per accident you shall carry enough liability protection protect your asset but only you can decide what be enough if I tell you $100000 and you be sue for $300000 $100000 will not be enough good have it and not need it than need it and not have it other coverage provide protection your car in some States you can by uninsured motorist coverage protect you from an uninsured motorist some state ( Michigan come mind be no fault state and that be a completely different can of worms","1"
"when be Life Insurance proceeds tax","a 1035 exchange be an IRS code that allow the tax free transfer from 1 life insurance policy to another some life insurance company may also use the 1035 exchange rule transfer basis or premium as basis generally a 1035 exchange inherently include a replacement notice as well to the exist life insurance company from the replace life insurance company","0"
"who shall get Critical Illness Insurance","Critical Illness Insurance be generally a secondary indemnification policy to disability and medical insurance a key reason you consider critical illness insurance be family history if your family have a historical disposition to health issue especially as they become old you shall consider it sometimes people with chronic condition like allergy develop major repository illness that can be an additional reason consider critical illness you may be able purchase it as a rider on some life insurance policy as well as a stand alone policy","1"
"what be the difference between collision and comprehensive car insurance","that be a great question there be a school of thought out there  Dave Ramsey for example that believe you do not need life insurance they right if you can do the follow thing have sufficient fund available that your spouse child can live comfortably without your income that your final expense not a financial burden to your spouse child that your estate tax not go to a financial burden to your spouse child that you have no desire to leave a tax free legacy heir charity if you can do those thing you really do not have a need for life insurance according to thatschool of thought I personally believe everyone shall have a policy I hope that help thanks for ask","0"
"when can I enroll in Medigap","most people will enroll in a Medigap ( Medicare supplement plan when they first become eligible for Medicare most carrier require you have Medicare part A and part b in effect before they will issue a Medigap plan even if you buy a Medigap plan that do not require you have Medicare part b your supplement plan will pay as if you have part b","1"
"how determine amount of renter insurance","most Long Term Care Insurance plan these day pay the recipient a sum of money that can be spend as they desire the type of long term care they wish receive this can be a nursing home  assist living  independent living facility with a private aid hire family stay with them in their own home or other arrangement this make sense in that use other resource besides nursing home can be a less costly alternative and may be more desirable to the person receive the long term care","0"
"where buy universal life insurance","that be a great question most company that sell term and whole life insurance will also sell universal life insurance policy I will like you really make sure you understand how these policy work before you purchase 1 though these be not simple  straight forward policy like term or whole life policy they be complicated and have much great risk than the other 2 look at what the rate of advertise return and ask the agent what the historical return have prove be if they do not know or seem surprised you ask bail contact me if you will like more information on why this may or may not be a good fit for you okay thanks for ask","1"
"can I drop my Medicare part b","routine eye exam be not cover Medicare part A or part B. if you be an inpatient in a hospital and have an illness or injury to your eye  part A will cover that exam if you be treat as an outpatient in the er clinic or doctor office for illness or injury to your eye  part b will cover at least a portion of the exam","0"
"can you remove spouse from Health Insurance","yes you can absolutely remove your spouse from your plan if the spouse happen be the primary on the plan there shall not be an issue move you into that primary spot if the spouse be not primary then I can not imagine any reason at all there will be an issue","1"
"what percentage of term Life Insurance pay out","know what life insurance term you shall get be something you can best discern for yourself when you understand how term life insurance be price when you purchase a term life insurance policy you be usually lock in the premium so that it will not go up for a certain number of year this can be as short as 1 year or as long as 30+ year when you choose a long term you will find the price be much high than the premium for a short term that be because the policy be cover a great risk as you get old e.g. if you be age 40 now and take out a 10 year term policy that policy be only cover you age 50 if you take out a 30 year term policy it be cover you age 70 the chance of your die at age 70 be much greater than at age 50 and life insurance cost be high where there be great risk of death term policy roughly average out the cost of insurance for each year you have the policy and charge you that same price for the entire term so in the first year of the policy you be pay more than a person your age will be pay for that risk in the latter year you be pay less than a person that age will normally be pay the advantage to long term really show up when health be take into account you may have no trouble get a prefer rating at age 40 but get rate prefer at age 50 or 60 be not as likely therefore have a prefer rating lock in for 30 year offer a huge price advantage the poor soul who get rate prefer for a 10 year term policy at age 40  standard at age 50 and table 4 at age 60 get long term be not for everyone if you definitely only have a short term need there be no reason pay the high cost of a long term policy but if there be a chance you may need long coverage as you can see lock it in while you be healthy be never a bad idea","0"
"what be the best rate Medicare supplement insurance","financial rating really do not matter when it come to Medicare supplement insurance all Medicare supplement plan be identical all pay claim on a timely basis there be considerable consumer protection include in Medicare supplement plan if your Medicare supplement carrier get in financial trouble or decide exit the market you have a free pass apply for any plan with any other carrier regardless of your health the good Medicare supplemental insurance plan in your state be 1 that match your need and budget Medigap insurance rate vary considerably by zip code  age  tobacco use and plan the old you be the high your Medicare supplement rate will the exception be for those who be under age 65 and on disability and Medicare in most state rate for under age 65 be astronomical many carrier offer competitive rate from age 65 to 74 above age 74 some plan surprisingly become more competitive while other less so tobacco use often add 20% to the rate but can be more depending on the carrier plan f be the most expensive and most popular follow d or g depending on your state  n then hi f which be the least expensive you can generally find a site that offer instant Medigap quote but keep in mind the most competitive rate be usually not illustrate online #GeorgiaMedigapPlanRates #GeorgiaMedicarePlans #GaMedigapQuotes","1"
"do renter insurance cover a lost engagement ring","Medicare claim be handle electronically medical provider I have never see a paper claim form for Medicare and doubt if it exist all provider that treat Medicare beneficiary be requried file claim with Medicare it do not matter if your provider accept assignment or not they must still file the claim on a timely basis","0"
"do Medicare include dental care","original Medicare do not include routine dental care if you have a Medicare advantage plan some plan will include basic dental care if you want a dental plan review plan carefully be aware some plan be not insurance but only offer a discount if you use network provider insure dental plan vary widely in price and benefit","1"
"do renter insurance cover item in storage","that be a great question unfortunately the answer be not so great in the eye of the insurance company there be no guarantee you will end up marry your fianc because of that they be leery of addingsomeone to a policythat might end up get cancel prevent that they have some pretty solid rule about who can be list on your policy sorry but thank you for ask","0"
"who administer Medicare and Medicaid","the Centers for Medicare & Medicaid Services ( cm provide all operation and oversight these 2 program and be a part of the federal government Medicare be for people who be 65 and over or for individual with certain disability and Medicaid be design for low income individual that will otherwise be unable afford health care Medicare only pay for service that be deem medically necessary","1"
"what occupation make car insurance cheap","renter insurance will help protect you and your family from potential financial hardship due to a cover accident that you be deem responsible for without renter insurance if a person visit you be hurt while at your premise you may be responsible for their medical expense and other cost renter insurance will typically provide personally liability coverage and personal property protection along with some loss of use coverage contact a local agent discuss coverage availability and cost within your geographic location","0"
"what be irrevocable Life Insurance","life insurance be not usually refer to as irrevocable but there be such a thing as an irrevocable Life Insurance trust ( ILIT that you may be refer to this be a trust that own one or more life insurance policy and be the beneficiary of say life insurance policy for tax purpose by virtue of be irrevocable it be not able be change the person who have set it up avoid pay estate tax on the proceeds","1"
"Amerigroup Medicare","that be a great question why shall you get term insurance there be 3 good reason the first will be it be the most affordable coverage that you can get notice that I say affordable not good if you need $100000 worth of insurance and can not afford a whole life policy for that amount then a term policy be certainly good than no policy at all the second be if you be only look cover a short term debt like an expect 5 year college debt it do not make sense purchase a whole life policy cover a debt that you will pay off in a short amount of time I hope that help thanks for ask","0"
"how much do Health Insurance cost a 20 year old","there be no universal answer to your question the monthly premium for a 20 year old will vary from state state vary base upon the health plan design you enroll in and in the individual market can also be impact whether you be a tobacco user with those caveat a ballpark estimate in mid 2014 for the monthly premium for a 20 year old non-smoker wouldbe somewhere in the $90's to $175 range","1"
"can you buy short term Disability Insurance","most self-employed business be cost conscience so the plan with the least amount of expense be a good starting point in the discovery process whatever investment you select there will be an associate cost and the retirement plan will only add to it so important select the low cost plan with the high contribution limit if youre in a high tax bracket and/or your employer match your contribution youll want consider an ERISA qualify plan if ERISA qualified plan be too restrictive you may want consider nonqualified plan that use life insurance and/or annuity","0"
"what be the cheap website for car insurance","the cheap website for car insurance as an experienced car broker 33 year naturally I be biased to my own top rate website however in fairness there be many reputable reliable website that offer competitive price however it be important utilize a resource that constantly update information and provide accurate rate","1"
"how do retirement plan minimize tax","an auto policy can always be cancel if you fail make premium payment normally company wait until renewal make a decision regarding future coverage if the company determine the condition of the car and household have change dramatically they can cancel the policy normally this be effective on the expiration date of the policy short of cancel the policy they can offer renewal at an adjust premium","0"
"what can I do with cash value of Life Insurance policy","you can borrow from the cash value of life insurance pay for your child college education  pay for their wedding  apply toward buy a business or other large purchase etc. why pay a lender interest when you can borrow the money from yourself or you can allow it keep growing","1"
"how get good homeowner insurance","the so-called public health insurance option be an idea floated around when Obamacare law be be craft the idea the federal government will provide a plan similar to Medicare individual consider in addition to private health insurance plan the public option never get off the ground as it be deem too expensive","0"
"be Keyman Life Insurance tax deductible","basically the question about deductibility of premium have do with how proceeds be be take if the premium be deductible then the proceeds be taxable income in the situation of key man the company will want the benefit come to them income tax free after all they have just lose a key employee and their profit be probably suffer as a result","1"
"do homeowner insurance cover boat","no your carrier not can change your policy when they want to the policy be a contract that state you receive coverage in exchange for the payment of premium the policy can lapse and subsequently be terminate the carrier if you do not pay your premium ( when the policy lapse no coverage be provide or if you falsify information on your application","0"
"how safe be annuity now","annuity safety can be discuss in 2 way : financial strength of the annuity company and the credit method use in a defer annuity an annuity contract be only as good as the issuing annuity company rating service and corporate financials be available for review the annuity credit method can be a safety issue when use variable annuity with separate sub account invest in equity and bond instrument or indexed annuity with policy expense exposure in non performing year","1"
"who underwrite progressive homeowner insurance","people will buy term life insurance cover a temporary need e.g. most people need more coverage while raise child term insurance cost less than permanent and there will not be a need for that much coverage after the child be grow so for that purpose 20 to 30 year term work well some loan company require term insurance protect them if the borrower shall pass away term insurance be well suit to temporary need","0"
"what do renter insurance typically cover","a typical renter insurance policy will provide coverage physical loss or damage to your personal belonging subject to your policy deductible in addition to this your policy will provide liability coverage which will be there protect you against anything you may do cause harm to someone or cause damage to their property","1"
"who govern Life Insurance company","yes term be less expensive that whole life insurance term be temporary insurance and whole life be permanent insurance term be like rent a home and permanent be like own a home whole life which be permanent insurance also build some cash value in which term insurance do not build cash value","0"
"how much do car insurance rise after a claim","that be go depend on your insurance carrier your rate may not change at all depending on the number and the dollar amount of the claim you have have within the last 5 year each carrier set its own standard on how claim will affect your future premium upon renewal","1"
"do Medicare Count As Health Insurance","the answer to who have the cheap Disability Insurance in Wisconsin will vary from person to person that be because some company cater to certain profession  other have the good price for person of a certain age  etc. and the price will vary depending on the bell and whistle you choose the elimination period you select and other feature use a broker that sell Disability Insurance from multiple company can help you find the cheap rate the good coverage","0"
"who have the cheap term Life Insurance","no one single insurance company offer the cheap term life insurance everyone every carrier have their own underwrite guideline so the carrier that be good for you may not be the good for someone else there be 4 main factor that determine the premium that you pay for your life insurance policy - your age  the face amount of the coverage how long it have guarantee for ( term vs. permanent and the risk classification a carrier will offer you the risk classification the most important factor in evaluate which insurance company will offer you the low rate a term life insurance policy.The company will look at your personal medical history smoker status height weight profile result of the medical exam if apply a policy require it no exam policy typically cost more your family medical history e.g. cancer heart disease before age 60 in the immediate family motor vehicle record any hazardous activity you may participate in such as aviation dive drag racing  etc nonmedical policy generally cost more than fully underwrite policy that require an exam because an insurance company be take on more risk without have a full medical picture of you it best consult with an experienced life insurance broker who can shop your case among multiple carrier see who will offer you the most favorable risk classification for your program please feel free contact me for help or if you have any other question thanks very much","1"
"how get Health Insurance quote online","you can cancel your car insurance at any time almost all company will issue you a refund for any unused portion of your premium for example if your monthly cost be $100 and you cancel your policy 1 week after your last due date you will get approximately 75% your money back please keep in mind there may be state specific penalty for cancel your auto insurance when you want get another policy some company in certain state may put you in the most risky driving tier because you have a gap in insurance coverage make sure ask a trusted agent how this will affect your specific situation","0"
"will Medicare cover surgery","if a surgery be consider be medically necessary your physician then Medicare will cover it regardless of whether it be an inpatient or outpatient procedure assume you have both Part A & Part B of Medicare elective procedure ( e.g. cosmetic surgery will not be cover Medicare and you will have pay for it 100% out of your own pocket if you be unsure if your surgery will be cover  ask your doctor or call Medicare directly find out I hope the input help - please feel free contact me if you have any other question thanks very much","1"
"why buy Life Insurance child","your insurance be only as good as your agent cheap rate do not mean the carrier be not any good but they key be make sure you be cover properly and protect I have see time and time again an agent will sell you something with the wrong value of your home all because they want keep your business I have use many carrier compare rate with and mutual company on many occasion can cost much less please make sure talk to an agent and make sure you be use a replacement cost for your home this not the same as a appraisal that you get from the bank service be another thing think about example our agency answer the phone 24/7 make sure that your not stick call a 800 number for claim when you have a loss nothing be more frustrate then dealing with a loss and being tell oh call this 800 number and they will take care of your claim if your agent be not file the claim and actively call your adjuster and make sure you and your need be take care of then I will look see what work good for you be you shop for just the rate or be you look for a carrier and an agent that will be there when you need it","0"
"what shall I know about long term care insurance","you shall know Long Term care insurance can cover all level of care : home health  assist living  nursing home and other the main thing be the trigger be meet  then it will pay the benefit the trigger include be unable take care of 1 self in 2 or more 6 way and/or mental impairment Long Term care insurance offer many feature that can be adjust get it fit your budget it be not tax when collected it allow more freedom choose the care you want when you need it","1"
"be employer pay group term Life Insurance taxable","the death of a child be uncommon that child develop a health condition that will cause them be rate up ineligible for life insurance as adult be more common get Life Insurance for your baby will pay a benefit you if your child will pass away so that you can pay bill and funeral related expense as an adult your child will have a reasonably price policy even if they have develop a health condition along the way","0"
"can you borrow from group Life Insurance","can you borrow from a group life plan usually the answer be no because most group life be term life which have no cash value borrow from there may be a few case where a group plan be set up with individual cash value life policy which can allow loan provision but very rare","1"
"how do you buy annuity","it may depending on whether or not you be deem responsible for those injury and to whom those injury occur renter insurance provide personal liability coverage the insured and the immediate family of the insured reside at the same premise please read your policy completely understand the coverage provide and any exclusion there may or contact your local agent have them go over the policy with you","0"
"can My Brother add me to his Health Insurance","your brother can only add you to his health insurance if he claim you as a dependent on his tax if he do not then he will not be able add you to his plan under the Affordable Care Act health insurance plan be guarantee issue  mean you can not be decline for coverage due to a pre-existing condition or other health related issue so if your brother can not claim you as a dependent and a spouse do not have a group plan through the employer you will need look at an individual policy - these can be buy on or off the health insurance exchange","1"
"what can I expect pay for Disability Insurance","a home be 1 the large asset that you will probably own if you want cheap coverage you will want a policy that pay as much as possible when you have a claim the annual premium be immaterial if you have a fire  wind or other damage to your home a trusted insurance agent will listen to you  provide sound financial advice and communicate clearly with you and the insurance company the agent will help you select appropriate limit so you can be satisfied when you have a claim","0"
"how reduce homeowner insurance","the most effective way reduce the cost of a homeowner policy be increase the deductible shift that risk from the company always result in a reduction much be make of deduction for central station alarm and other home modification these adjustment be often disappointingly small the 1 thing that you shall never do reduce the amount of liability coverage","1"
"how cancel Ameriprise auto insurance","cash value for a life insurance policy be not taxable as income cash value be tax defer upon growth when the premium be pay of accumulate compound tax be applied if there be a basis of you have 20000 in cash value and you have basis be 15000 you withdraw 8000 you will not be tax since its bow your basis if it be hand beneficiary after death then will not be tax","0"
"do homeowner insurance cover jewelry theft","most home policy will cover the loss if it of a high value you do not schedule it then it possible that you will not get all of what it worth that why it so important to discuss with an agent about what you have what need to protect in theevent of a loss tragic enough then to find out later that you not cover properly even worse anything of a significant value shall be schedule in","1"
"be landlord insurance more expensive than homeowner","Medicare cover many item need for mobility these include walker  wheelchair and even scooter your doctor must certify you need a mobility assist device you shall obtain your wheelchair from a Medicare approve DME ( durable medical equipment supplier that accept Medicare assignment do so will minimize your out of pocket cost","0"
"do Medicare negotiate price","actually no. Medicare set a fee schedule base on the medical procedure and it be offer provider on a take it or leave it basis most hospital stay be reimburse under a set fee basis while doctor and other provider be pay based on the way the claim be code","1"
"where get a physical without Health Insurance","you can buy most type of insurance without an agent but it do not save you any money you pay the same the agent be someone who understand a lot more about insurance than you do he help you avoid mistake when people be leave to their own choice they make huge mistake with insurance in fact they tend put huge importance on brand of insurance rather than the specifics of their policy that be a huge mistake you can buy without an agent and I be an agent so I may be biased but if you show me 10 people who buy insurance without a good agent I can show you 10- people that I can give much good choice the problem most agent be less than 1 year on the job and only know a little more than you do when you choose your agent the first thing you shall ask be how long they have be a full time insurance agent over 5 year be good less than 2 year be real bad let them learn on other people also ask if the be independent or work mainly for 1 company if they work mainly with 1 company that be not good unless you do not care about price and value your agent be free for you interview several fire them if they do not fit well with you use them to your benefit","0"
"where shall I get homeowner insurance","check with your colleague and friend get recommendation select an agent who will listen to you make sure the agent provide accurate information you and the insurance company while price be important have the correct coverage be more important there may be discount available base on your other line of insurance and occupation","1"
"how be variable annuity insure","for any claim involve property you need evidence this not do have be pile of receipt simple photograph give the adjuster the information necessary accurately evaluate the loss if you have receipt that be fine as well if you be sue do not be concerned about what the adjuster need  just get the claim into their hand this be urgent","0"
"can you borrow money from your retirement plan","borrow money from your retirement plan for emergency can be helpful but it shall not be use as a bank qualified retirement plan have their own regulatory rule of engagement for access plan participant money qualified plan charge interest  generally require repayment at employment termination or transfer of fund if qualified pan money be deem receive it will trigger an ordinary income tax event and a 10% penalty if youre under 59 nonqualified retirement plan that use a Tamra compliant non modify endowment contract can borrow accumulate cash value at a low or no interest as the long as the policy be keep in force for the life of the insured","1"
